ts,ticker,close_time,secs_to_close,floor_strike,yes_bid,yes_ask,yes_mid,spread_c,yes_bid_size,yes_ask_size,last_price,volume,open_interest,btc_spot
2026-07-31T08:06:52.462+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,487,63893.36,0.22,0.23,0.225,1.0,1148.38,993.00,0.2300,637043.22,223143.21,63918.01
2026-07-31T08:06:56.294+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,483,63893.36,0.22,0.23,0.225,1.0,1148.38,993.00,0.2300,637043.22,223143.21,63918.01
2026-07-31T08:07:01.623+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,478,63893.36,0.22,0.23,0.225,1.0,1148.38,993.00,0.2300,637043.22,223143.21,63918.0
2026-07-31T08:07:09.195+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,470,63893.36,0.22,0.23,0.225,1.0,1148.38,993.00,0.2300,637043.22,223143.21,63918.0
2026-07-31T08:07:11.327+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,468,63893.36,0.22,0.23,0.225,1.0,1148.38,993.00,0.2300,637043.22,223143.21,63918.0
2026-07-31T08:07:16.354+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,463,63893.36,0.16,0.17,0.165,1.0,5582.39,1524.00,0.1700,682641.91,223525.83,63906.45
2026-07-31T08:07:21.371+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,458,63893.36,0.16,0.17,0.165,1.0,5582.39,1524.00,0.1700,682641.91,223525.83,63906.45
2026-07-31T08:07:26.473+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,453,63893.36,0.16,0.17,0.165,1.0,5582.39,1524.00,0.1700,682641.91,223525.83,63906.45
2026-07-31T08:07:32.476+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,447,63893.36,0.16,0.17,0.165,1.0,5582.39,1524.00,0.1700,682641.91,223525.83,63908.3
2026-07-31T08:07:36.417+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,443,63893.36,0.16,0.17,0.165,1.0,5582.39,1524.00,0.1700,682641.91,223525.83,63908.29
2026-07-31T08:07:41.406+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,438,63893.36,0.16,0.17,0.165,1.0,5582.39,1524.00,0.1700,682641.91,223525.83,63908.3
2026-07-31T08:07:46.422+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,433,63893.36,0.16,0.17,0.165,1.0,413.96,15574.02,0.1600,785448.30,273490.52,63903.03
2026-07-31T08:07:51.375+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,428,63893.36,0.16,0.17,0.165,1.0,413.96,15574.02,0.1600,785448.30,273490.52,63903.04
2026-07-31T08:07:56.346+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,423,63893.36,0.16,0.17,0.165,1.0,413.96,15574.02,0.1600,785448.30,273490.52,63903.04
2026-07-31T08:08:03.963+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,416,63893.36,0.16,0.17,0.165,1.0,413.96,15574.02,0.1600,785448.30,273490.52,63903.04
2026-07-31T08:08:06.363+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,413,63893.36,0.16,0.17,0.165,1.0,413.96,15574.02,0.1600,785448.30,273490.52,63903.04
2026-07-31T08:08:13.958+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,406,63893.36,0.16,0.17,0.165,1.0,413.96,15574.02,0.1600,785448.30,273490.52,63890.83
2026-07-31T08:08:19.141+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,400,63893.36,0.095,0.096,0.0955,0.1,35.00,1529.52,0.0950,817914.40,277273.42,63890.82
2026-07-31T08:08:29.111+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,390,63893.36,0.095,0.096,0.0955,0.1,35.00,1529.52,0.0950,817914.40,277273.42,63880.01
2026-07-31T08:08:34.124+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,385,63893.36,0.095,0.096,0.0955,0.1,35.00,1529.52,0.0950,817914.40,277273.42,63880.01
2026-07-31T08:08:40.120+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,379,63893.36,0.095,0.096,0.0955,0.1,35.00,1529.52,0.0950,817914.40,277273.42,63880.01
2026-07-31T08:08:48.923+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,371,63893.36,0.088,0.089,0.0885,0.1,8.00,855.01,0.0890,886831.58,308037.41,63888.0
2026-07-31T08:08:50.088+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,369,63893.36,0.088,0.089,0.0885,0.1,8.00,855.01,0.0890,886831.58,308037.41,63888.0
2026-07-31T08:08:57.720+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,362,63893.36,0.088,0.089,0.0885,0.1,8.00,855.01,0.0890,886831.58,308037.41,63881.99
2026-07-31T08:09:00.063+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,359,63893.36,0.088,0.089,0.0885,0.1,8.00,855.01,0.0890,886831.58,308037.41,63880.0
2026-07-31T08:09:05.065+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,354,63893.36,0.088,0.089,0.0885,0.1,8.00,855.01,0.0890,886831.58,308037.41,63878.01
2026-07-31T08:09:10.019+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,349,63893.36,0.088,0.089,0.0885,0.1,8.00,855.01,0.0890,886831.58,308037.41,63878.0
2026-07-31T08:09:15.066+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,344,63893.36,0.088,0.089,0.0885,0.1,8.00,855.01,0.0890,886831.58,308037.41,63878.01
2026-07-31T08:09:27.620+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,332,63893.36,0.032,0.033,0.0325,0.1,1914.32,980.00,0.0320,973221.22,304661.00,63872.03
2026-07-31T08:09:33.644+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,326,63893.36,0.032,0.033,0.0325,0.1,1914.32,980.00,0.0320,973221.22,304661.00,63874.95
2026-07-31T08:09:40.431+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,319,63893.36,0.032,0.033,0.0325,0.1,1914.32,980.00,0.0320,973221.22,304661.00,63870.01
2026-07-31T08:09:42.750+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,317,63893.36,0.032,0.033,0.0325,0.1,1914.32,980.00,0.0320,973221.22,304661.00,63870.34
2026-07-31T08:09:47.748+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,312,63893.36,0.032,0.033,0.0325,0.1,1914.32,980.00,0.0320,973221.22,304661.00,63870.33
2026-07-31T08:09:52.746+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,307,63893.36,0.032,0.033,0.0325,0.1,1914.32,980.00,0.0320,973221.22,304661.00,63870.34
2026-07-31T08:09:57.721+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,302,63893.36,0.026,0.027,0.0265,0.1,2618.37,225.91,0.0270,1023482.45,308516.24,63863.64
2026-07-31T08:10:02.730+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,297,63893.36,0.026,0.027,0.0265,0.1,2618.37,225.91,0.0270,1023482.45,308516.24,63862.01
2026-07-31T08:10:08.746+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,291,63893.36,0.026,0.027,0.0265,0.1,2618.37,225.91,0.0270,1023482.45,308516.24,63862.01
2026-07-31T08:10:12.776+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,287,63893.36,0.026,0.027,0.0265,0.1,2618.37,225.91,0.0270,1023482.45,308516.24,63862.01
2026-07-31T08:10:18.733+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,281,63893.36,0.026,0.027,0.0265,0.1,2618.37,225.91,0.0270,1023482.45,308516.24,63862.01
2026-07-31T08:10:23.746+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,276,63893.36,0.026,0.027,0.0265,0.1,2618.37,225.91,0.0270,1023482.45,308516.24,63872.0
2026-07-31T08:10:27.836+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,272,63893.36,0.03,0.031,0.0305,0.1,4104.46,699.01,0.0300,1079610.02,325295.67,63874.99
2026-07-31T08:10:32.853+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,267,63893.36,0.03,0.031,0.0305,0.1,4104.46,699.01,0.0300,1079610.02,325295.67,63896.0
2026-07-31T08:10:37.845+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,262,63893.36,0.03,0.031,0.0305,0.1,4104.46,699.01,0.0300,1079610.02,325295.67,63896.0
2026-07-31T08:10:42.790+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,257,63893.36,0.03,0.031,0.0305,0.1,4104.46,699.01,0.0300,1079610.02,325295.67,63886.13
2026-07-31T08:10:47.777+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,252,63893.36,0.03,0.031,0.0305,0.1,4104.46,699.01,0.0300,1079610.02,325295.67,63886.13
2026-07-31T08:10:52.781+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,247,63893.36,0.03,0.031,0.0305,0.1,4104.46,699.01,0.0300,1079610.02,325295.67,63890.0
2026-07-31T08:10:58.803+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,241,63893.36,0.03,0.031,0.0305,0.1,4104.46,699.01,0.0300,1079610.02,325295.67,63899.19
2026-07-31T08:11:02.786+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,237,63893.36,0.093,0.094,0.0935,0.1,1079.00,948.08,0.0940,1212158.32,346400.23,63899.19
2026-07-31T08:11:07.767+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,232,63893.36,0.093,0.094,0.0935,0.1,1079.00,948.08,0.0940,1212158.32,346400.23,63906.0
2026-07-31T08:11:12.798+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,227,63893.36,0.093,0.094,0.0935,0.1,1079.00,948.08,0.0940,1212158.32,346400.23,63906.0
2026-07-31T08:11:18.714+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,221,63893.36,0.093,0.094,0.0935,0.1,1079.00,948.08,0.0940,1212158.32,346400.23,63908.98
2026-07-31T08:11:22.770+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,217,63893.36,0.093,0.094,0.0935,0.1,1079.00,948.08,0.0940,1212158.32,346400.23,63911.99
2026-07-31T08:11:27.876+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,212,63893.36,0.093,0.094,0.0935,0.1,1079.00,948.08,0.0940,1212158.32,346400.23,63912.0
2026-07-31T08:11:32.912+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,207,63893.36,0.093,0.094,0.0935,0.1,1079.00,948.08,0.0940,1212158.32,346400.23,63912.0
2026-07-31T08:11:42.590+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,197,63893.36,0.12,0.13,0.125,1.0,1697.01,7645.73,0.1200,1285290.27,370415.59,63911.99
2026-07-31T08:11:44.673+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,195,63893.36,0.12,0.13,0.125,1.0,1697.01,7645.73,0.1200,1285290.27,370415.59,63912.0
2026-07-31T08:11:48.711+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,191,63893.36,0.12,0.13,0.125,1.0,1697.01,7645.73,0.1200,1285290.27,370415.59,63912.0
2026-07-31T08:11:53.823+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,186,63893.36,0.12,0.13,0.125,1.0,1697.01,7645.73,0.1200,1285290.27,370415.59,63912.0
2026-07-31T08:11:58.844+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,181,63893.36,0.12,0.13,0.125,1.0,1697.01,7645.73,0.1200,1285290.27,370415.59,63912.0
2026-07-31T08:12:08.396+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,171,63893.36,0.045,0.046,0.0455,0.1,1.00,850.00,0.0460,1356437.40,368165.40,63912.0
2026-07-31T08:12:09.598+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,170,63893.36,0.045,0.046,0.0455,0.1,1.00,850.00,0.0460,1356437.40,368165.40,63912.0
2026-07-31T08:12:14.540+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,165,63893.36,0.045,0.046,0.0455,0.1,1.00,850.00,0.0460,1356437.40,368165.40,63912.0
2026-07-31T08:12:19.522+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,160,63893.36,0.045,0.046,0.0455,0.1,1.00,850.00,0.0460,1356437.40,368165.40,63912.0
2026-07-31T08:12:32.104+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,147,63893.36,0.045,0.046,0.0455,0.1,1.00,850.00,0.0460,1356437.40,368165.40,63911.18
2026-07-31T08:12:37.118+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,142,63893.36,0.045,0.046,0.0455,0.1,1.00,850.00,0.0460,1356437.40,368165.40,63911.17
2026-07-31T08:12:43.149+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,136,63893.36,0.014,0.016,0.015,0.2,595.01,860.36,0.0140,1434892.20,371753.12,63911.18
2026-07-31T08:12:47.009+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,132,63893.36,0.014,0.016,0.015,0.2,595.01,860.36,0.0140,1434892.20,371753.12,63911.16
2026-07-31T08:12:52.045+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,127,63893.36,0.014,0.016,0.015,0.2,595.01,860.36,0.0140,1434892.20,371753.12,63911.16
2026-07-31T08:12:57.024+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,122,63893.36,0.014,0.016,0.015,0.2,595.01,860.36,0.0140,1434892.20,371753.12,63911.17
2026-07-31T08:13:02.969+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,117,63893.36,0.014,0.016,0.015,0.2,595.01,860.36,0.0140,1434892.20,371753.12,63915.54
2026-07-31T08:13:07.058+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,112,63893.36,0.014,0.016,0.015,0.2,595.01,860.36,0.0140,1434892.20,371753.12,63918.62
2026-07-31T08:13:12.025+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,107,63893.36,0.014,0.016,0.015,0.2,595.01,860.36,0.0140,1434892.20,371753.12,63918.62
2026-07-31T08:13:17.038+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,102,63893.36,0.035,0.036,0.0355,0.1,1948.00,150.38,0.0360,1526713.12,382629.36,63927.17
2026-07-31T08:13:26.762+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,93,63893.36,0.035,0.036,0.0355,0.1,1948.00,150.38,0.0360,1526713.12,382629.36,63952.15
2026-07-31T08:13:27.886+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,92,63893.36,0.035,0.036,0.0355,0.1,1948.00,150.38,0.0360,1526713.12,382629.36,63952.16
2026-07-31T08:13:35.363+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,84,63893.36,0.035,0.036,0.0355,0.1,1948.00,150.38,0.0360,1526713.12,382629.36,63964.69
2026-07-31T08:13:37.910+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,82,63893.36,0.035,0.036,0.0355,0.1,1948.00,150.38,0.0360,1526713.12,382629.36,63964.68
2026-07-31T08:13:42.906+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,77,63893.36,0.035,0.036,0.0355,0.1,1948.00,150.38,0.0360,1526713.12,382629.36,63964.69
2026-07-31T08:13:47.910+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,72,63893.36,0.035,0.036,0.0355,0.1,1948.00,150.38,0.0360,1526713.12,382629.36,63964.68
2026-07-31T08:13:54.000+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,65,63893.36,0.51,0.52,0.515,1.0,2484.02,902.01,0.5100,1825296.99,350872.05,63964.68
2026-07-31T08:13:58.890+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,61,63893.36,0.51,0.52,0.515,1.0,2484.02,902.01,0.5100,1825296.99,350872.05,63964.69
2026-07-31T08:14:02.987+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,57,63893.36,0.51,0.52,0.515,1.0,2484.02,902.01,0.5100,1825296.99,350872.05,63964.69
2026-07-31T08:14:10.449+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,49,63893.36,0.51,0.52,0.515,1.0,2484.02,902.01,0.5100,1825296.99,350872.05,63969.82
2026-07-31T08:14:12.988+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,47,63893.36,0.51,0.52,0.515,1.0,2484.02,902.01,0.5100,1825296.99,350872.05,63969.82
2026-07-31T08:14:18.026+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,41,63893.36,0.51,0.52,0.515,1.0,2484.02,902.01,0.5100,1825296.99,350872.05,63970.56
2026-07-31T08:14:22.983+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,37,63893.36,0.962,0.964,0.963,0.2,124.00,208.24,0.9640,1992316.39,323420.21,63970.56
2026-07-31T08:14:28.034+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,31,63893.36,0.962,0.964,0.963,0.2,124.00,208.24,0.9640,1992316.39,323420.21,63970.56
2026-07-31T08:14:33.054+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,26,63893.36,0.962,0.964,0.963,0.2,124.00,208.24,0.9640,1992316.39,323420.21,63970.56
2026-07-31T08:14:38.073+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,21,63893.36,0.962,0.964,0.963,0.2,124.00,208.24,0.9640,1992316.39,323420.21,63970.56
2026-07-31T08:14:43.036+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,16,63893.36,0.962,0.964,0.963,0.2,124.00,208.24,0.9640,1992316.39,323420.21,63953.94
2026-07-31T08:14:48.109+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,11,63893.36,0.962,0.964,0.963,0.2,124.00,208.24,0.9640,1992316.39,323420.21,63945.56
2026-07-31T08:14:54.054+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,5,63893.36,0.962,0.964,0.963,0.2,124.00,208.24,0.9640,1992316.39,323420.21,63945.57
2026-07-31T08:14:58.028+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,1,63893.36,0.998,0.999,0.9985,0.1,115.68,841.00,0.9980,2143681.73,394219.69,63945.57
2026-07-31T08:15:07.772+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,-7,63893.36,0.998,0.999,0.9985,0.1,115.68,841.00,0.9980,2143681.73,394219.69,63953.68
2026-07-31T08:15:09.888+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,-9,63893.36,0.998,0.999,0.9985,0.1,115.68,841.00,0.9980,2143681.73,394219.69,63962.0
2026-07-31T08:15:13.960+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,-13,63893.36,0.998,0.999,0.9985,0.1,115.68,841.00,0.9980,2143681.73,394219.69,63971.65
2026-07-31T08:15:18.927+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,-18,63893.36,0.998,0.999,0.9985,0.1,115.68,841.00,0.9980,2143681.73,394219.69,63972.0
2026-07-31T08:15:26.516+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,-26,63893.36,0.998,0.999,0.9985,0.1,115.68,841.00,0.9980,2143681.73,394219.69,63971.99
