started_at,resolved_at,market_id,side,duration_ms,tau_at_start_sec
2026-07-30T07:01:52.302Z,2026-07-30T07:01:55.107Z,btc5m1785394904162,yes,2805,291.9
2026-07-30T07:01:52.302Z,2026-07-30T07:01:55.107Z,btc5m1785394904162,no,2805,291.9
2026-07-30T07:02:16.029Z,2026-07-30T07:02:16.424Z,btc5m1785394904162,yes,395,268.1
2026-07-30T07:02:16.029Z,2026-07-30T07:02:16.424Z,btc5m1785394904162,no,395,268.1
2026-07-30T07:02:15.622Z,2026-07-30T07:02:16.424Z,btc5m1785394907013,yes,802,271.4
2026-07-30T07:02:16.029Z,2026-07-30T07:02:16.424Z,btc5m1785394907013,no,395,271.0
2026-07-30T07:02:25.278Z,2026-07-30T07:02:27.651Z,btc5m1785394904162,yes,2373,258.9
2026-07-30T07:02:25.278Z,2026-07-30T07:02:27.651Z,btc5m1785394904162,no,2373,258.9
2026-07-30T07:02:25.278Z,2026-07-30T07:02:28.056Z,btc5m1785394907013,yes,2778,261.7
2026-07-30T07:02:25.278Z,2026-07-30T07:02:28.056Z,btc5m1785394907013,no,2778,261.7
2026-07-30T07:02:31.258Z,2026-07-30T07:02:32.460Z,btc5m1785394904162,yes,1202,252.9
2026-07-30T07:02:31.258Z,2026-07-30T07:02:32.460Z,btc5m1785394904162,no,1202,252.9
2026-07-30T07:02:30.860Z,2026-07-30T07:02:32.460Z,btc5m1785394907013,yes,1600,256.2
2026-07-30T07:02:31.659Z,2026-07-30T07:02:32.460Z,btc5m1785394907013,no,801,255.4
2026-07-30T07:02:33.668Z,2026-07-30T07:02:34.070Z,btc5m1785394904162,yes,402,250.5
2026-07-30T07:02:33.668Z,2026-07-30T07:02:34.070Z,btc5m1785394904162,no,402,250.5
2026-07-30T07:02:33.668Z,2026-07-30T07:02:34.470Z,btc5m1785394907013,yes,802,253.3
2026-07-30T07:02:33.668Z,2026-07-30T07:02:34.470Z,btc5m1785394907013,no,802,253.3
2026-07-30T07:02:39.683Z,2026-07-30T07:02:40.083Z,btc5m1785394904162,yes,400,244.5
2026-07-30T07:02:39.683Z,2026-07-30T07:02:40.083Z,btc5m1785394904162,no,400,244.5
2026-07-30T07:02:39.683Z,2026-07-30T07:02:40.484Z,btc5m1785394907013,yes,801,247.3
2026-07-30T07:02:39.683Z,2026-07-30T07:02:40.484Z,btc5m1785394907013,no,801,247.3
2026-07-30T07:02:42.888Z,2026-07-30T07:02:43.292Z,btc5m1785394904162,yes,404,241.3
2026-07-30T07:02:42.888Z,2026-07-30T07:02:43.292Z,btc5m1785394904162,no,404,241.3
2026-07-30T07:02:42.888Z,2026-07-30T07:02:43.292Z,btc5m1785394907013,no,404,244.1
2026-07-30T07:02:42.888Z,2026-07-30T07:02:43.689Z,btc5m1785394907013,yes,801,244.1
2026-07-30T07:02:48.900Z,2026-07-30T07:02:49.301Z,btc5m1785394907013,yes,401,238.1
2026-07-30T07:02:48.900Z,2026-07-30T07:02:49.301Z,btc5m1785394907013,no,401,238.1
2026-07-30T07:02:48.900Z,2026-07-30T07:02:49.704Z,btc5m1785394904162,yes,804,235.3
2026-07-30T07:02:48.900Z,2026-07-30T07:02:50.503Z,btc5m1785394904162,no,1603,235.3
2026-07-30T07:02:58.535Z,2026-07-30T07:03:05.352Z,btc5m1785394904162,yes,6817,225.6
2026-07-30T07:02:58.535Z,2026-07-30T07:03:05.352Z,btc5m1785394904162,no,6817,225.6
